customer_id,month,consumption_kwh,is_theft
1,1,334.84,0
1,2,310.41,0
1,3,141.77,1
1,4,305.61,0
1,5,170.4,1
1,6,273.74,0
1,7,203.75,0
1,8,153.31,1
1,9,244.83,0
1,10,119.47,1
1,11,262.78,0
1,12,159.73,1
2,1,113.47,1
2,2,364.69,0
2,3,150.98,1
2,4,193.54,1
2,5,320.44,0
2,6,169.56,1
2,7,300.93,0
2,8,84.57,1
2,9,163.15,1
2,10,267.62,0
2,11,222.67,0
2,12,199.85,1
3,1,122.79,1
3,2,347.9,0
3,3,112.16,1
3,4,162.95,1
3,5,68.8,1
3,6,268.14,1
3,7,331.74,0
3,8,123.16,1
3,9,298.07,0
3,10,359.58,0
3,11,36.95,1
3,12,133.34,1
4,1,314.59,0
4,2,140.27,1
4,3,80.49,1
4,4,292.61,1
4,5,335.07,0
4,6,357.91,0
4,7,358.59,0
4,8,156.95,1
4,9,260.39,0
4,10,209.5,0
4,11,290.26,0
4,12,156.23,1
5,1,226.72,1
5,2,309.02,0
5,3,332.88,0
5,4,211.38,1
5,5,98.16,1
5,6,250.37,0
5,7,188.22,1
5,8,297.76,0
5,9,318.36,0
5,10,169.99,1
5,11,360.14,0
5,12,229.91,0
6,1,98.27,1
6,2,289.01,0
6,3,232.59,1
6,4,221.84,1
6,5,211.22,1
6,6,139.38,1
6,7,272.16,0
6,8,310.49,0
6,9,185.44,1
6,10,409.64,0
6,11,188.53,1
6,12,339.09,0
7,1,84.71,1
7,2,378.17,0
7,3,83.08,1
7,4,281.6,0
7,5,271.58,1
7,6,224.84,1
7,7,328.5,0
7,8,346.1,0
7,9,140.27,1
7,10,243.74,1
7,11,333.93,0
7,12,288.02,0
8,1,446.72,0
8,2,242.43,1
8,3,266.46,0
8,4,341.44,0
8,5,142.99,1
8,6,335.7,0
8,7,213.34,1
8,8,179.84,1
8,9,315.51,0
8,10,287.3,0
8,11,301.55,0
8,12,176.86,1
9,1,327.89,0
9,2,345.36,0
9,3,251.12,0
9,4,270.43,0
